Fruit Name,Family Name,Scientific Name,Sunlight Requirement,Description,Temperature Range,Soil Moisture Concentration
apple ,Rosaceae,Malus domestica,Full Sunlight,"In terms of the fruit, apples are a round, firm fruit with a thin skin that can range in color from green to yellow to red. They have a crisp texture and a sweet, slightly tart taste, and are often used in a variety of culinary applications, including baking, cooking, and juicing. Apples are a good source of fiber, vitamins, and minerals, and are often considered a healthy snack choice. They are grown in many parts of the world and are commonly associated with fall and winter seasons.",21-24 ,50-75
mango,Anacardiaceae (cashew family),Mangifera,Full Sunlight,"Mango is a juicy tropical fruit that is known for its sweet, aromatic flavor and bright orange-yellow flesh. The fruit has a smooth, thin skin that ranges in color from green to yellow to red, depending on the variety and level of ripeness. Inside the fruit is a large, flat, oval-shaped seed that is surrounded by the sweet, juicy flesh. The flesh is soft and fibrous, and can be eaten fresh or used in a variety of culinary applications, including smoothies, desserts, and curries.",24-31,15-30
orange,Rutaceae     (citrus family),Citrus sinensis,Full Sunlight,"Oranges are a juicy citrus fruit that are typically round or oval-shaped with a bright orange skin. The pulp of the orange is divided into segments that are filled with sweet, juicy flesh that is rich in vitamin C and other nutrients. The flavor of oranges is sweet and tangy, and the fruit is often consumed fresh, juiced, or used in a variety of culinary applications, including desserts, salads, and savory dishes.",25-30,50-75
kiwi,Actinidiaceae,Actinidia deliciosa,Full Sunlight,"The kiwi fruit is a small, oval-shaped fruit that is covered in a fuzzy, brown skin. Inside the skin, the fruit has a bright green flesh that is filled with small, black edible seeds. The flesh of the kiwi fruit is juicy and sweet, with a tart flavor that is similar to strawberries or melons. Kiwi fruit is typically harvested in the late fall or early winter months, and is enjoyed fresh, sliced or added to fruit salads, smoothies, and desserts.",14-24,60-80
banana,Musaceae (banana family), Musa Acuminata,Full Sunlight,"Bananas are a long, curved fruit that comes in a variety of colors and sizes, depending on the variety. The fruit has a soft, fleshy interior that is rich in vitamins, minerals, and fiber. Bananas are typically eaten fresh or used in a variety of culinary applications, including smoothies, desserts, and baked goods.",13-38,70-80
pomegranate,Lythraceae,Punica Granatum,Full Sunlight,"Pomegranate is a fruit with a hard, leathery skin that ranges in color from yellow-orange to deep red. Inside the fruit, there are numerous small, juicy seeds that are surrounded by a tart, slightly sweet pulp. Pomegranate seeds are often eaten fresh or used in a variety of culinary applications, including salads, sauces, and desserts.",15-32,50-70
dragonfruit,Cactaceae,Hylocereus undatus.,Full Sunlight,"Dragonfruit is a fruit that comes from a type of cactus, and it is native to Central and South America. The fruit has a bright pink or yellow outer skin that is covered in scale-like protrusions, and the inside is filled with a white, fleshy pulp that is studded with small black seeds. The fruit has a mildly sweet flavor, and is often eaten fresh or used in a variety of culinary applications, including smoothies, salads, and desserts. Dragonfruit is a good source of fiber, vitamin C, and antioxidants, which can help to protect the body against cellular damage and reduce the risk of chronic diseases.",20-30,70-80
strawberry,Rosaceae     (Rose Family),Fragaria x Ananassa,Partial/No Sunlight,"The strawberry is a small, red, heart-shaped fruit that is often eaten fresh or used in a variety of culinary applications, including smoothies, desserts, and baked goods. The fruit has a sweet, juicy flavor, and is known for its distinct aroma.Strawberries are a good source of vitamin C, fiber, and antioxidants, which can help to protect the body against cellular damage and reduce the risk of chronic diseases. They are also low in calories and contain no cholesterol or saturated fats, making them a healthy addition to any diet.",15-25,70-80
jamun ,Myrtaceae,Syzygium  Cumini,Full Sunlight,"Java plum, also known as Jambolan or Indian Blackberry, is a fruit tree that is native to South Asia and Southeast Asia. The fruit is oval-shaped, with a dark purple or black outer skin and a juicy, sweet-tart pulp inside. The fruit is typically eaten fresh, used in jams and preserves, or dried and used in traditional medicines.Java plum is a rich source of antioxidants, vitamins, and minerals. The fruit is particularly high in vitamin C and iron, and may also have beneficial effects on blood sugar levels and digestion.",25-35,60-80
mousambi,Rutaceae   (Citrus Family),Citrus Limetta,Full Sunlight,"Mousambi, also known as sweet lime, is a small, round citrus fruit that is native to Southeast Asia and is now widely cultivated in tropical regions around the world. The fruit has a thin, pale green or yellowish-green outer skin and a juicy, sweet-tart pulp inside. The juice of Mousambi is often used in beverages, including fruit juices and cocktails, and the fruit is also eaten fresh or used in a variety of culinary applications, including salads, desserts, and marinades.",20-30,50-75
pear,Rosaceae     (Rose Family),Pyrus Communis,Partial/No Sunlight,"Pears are a sweet and juicy fruit that have a characteristic pear shape, with a wider bottom and narrower top. They come in a variety of colors, including green, yellow, and red, and can be eaten fresh or used in a variety of culinary applications, such as pies, tarts, and salads.Pears are a good source of fiber, vitamin C, and copper, which can help to support a healthy immune system and reduce the risk of chronic diseases. They are also low in calories and contain no cholesterol or saturated fats, making them a healthy addition to any diet.",14-24,50-75
guava,Myrtaceae (Myrtle Family),Psidium guajava,Full Sunlight,"Guava is a tropical fruit that is native to Central and South America but is now grown in many parts of the world, including Southeast Asia, Africa, and the Caribbean. The fruit is round or oval-shaped, with a green or yellowish-green outer skin and a sweet, juicy pulp inside. The seeds of the guava fruit are small and edible. Guava is a good source of vitamin C, fiber, and antioxidants, which can help to protect the body against cellular damage and reduce the risk of chronic diseases.",20-30,50-75
cherries,Rosaceae     (Rose Family),Prunus Avium,Partial/No Sunlight,"Cherries are a small, round fruit that are typically bright red or dark purple in color. They have a sweet, juicy flesh and a small pit or stone at the center. Cherries are typically eaten fresh or used in a variety of culinary applications, such as pies, jams, and cocktails.Cherries are a good source of fiber, vitamin C, and antioxidants, which can help to protect the body against cellular damage and reduce the risk of chronic diseases. They are also low in calories and contain no cholesterol or saturated fats, making them a healthy addition to any diet.",16-21,50-75
blueberry,Grossulariaceae (Gooseberry Family),Ribes nigrum,Partial/No Sunlight,"Blueberries are small, dark-colored berries that grow on shrubs. They have a tart, slightly sweet flavor and are commonly used in jams, jellies, and baked goods. Blueberries are also used in the production of juice, syrup, and liqueurs.Blueberries are a good source of vitamin C, antioxidants, and other nutrients that can help to support a healthy immune system and reduce the risk of chronic diseases. They are also low in calories and contain no cholesterol or saturated fats, making them a healthy addition to any diet.",16-21,50-75
lemon,Rutaceae    (Citrus Family),Citrus limon,Partial/No Sunlight,"Lemon is a citrus fruit that is oval in shape and has a bright yellow, textured outer skin. The pulp of the lemon is juicy and acidic, with a sour taste. Lemon is commonly used in cooking and baking, as well as in the production of juice, essential oils, and other products.Lemons are a good source of vitamin C, antioxidants, and other nutrients that can help to support a healthy immune system and reduce the risk of chronic diseases. They are also low in calories and contain no cholesterol or saturated fats, making them a healthy addition to any diet.",21-29,50-75
grape ,Vitaceae ,Vitis vinifera,Full Sun /Partial Shade,Grapes are a sweet and juicy fruit that grow on vines in temperate and tropical climates. They require well-draining soil and regular pruning.,Oct-45,50-75
